from,to,route
EAMENA-0207505,EAMENA-0207503,1
EAMENA-0207503,EAMENA-0207505,1
EAMENA-0207505,EAMENA-0207504,1
EAMENA-0207504,EAMENA-0207491,1
EAMENA-0207491,EAMENA-0207240,1
EAMENA-0207240,EAMENA-0207216,1
EAMENA-0207505,EAMENA-0207503,2
EAMENA-0207503,EAMENA-0207505,2
EAMENA-0207505,EAMENA-0207504,2
EAMENA-0207504,EAMENA-0207491,2
EAMENA-0207491,EAMENA-0207218,2
EAMENA-0192700,EAMENA-0194715,3
EAMENA-0194715,EAMENA-0192629,3
EAMENA-0192629,EAMENA-0192650,3
EAMENA-0192650,EAMENA-0192653,3
EAMENA-0192653,EAMENA-0192651,3